,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,12691.0,777
1,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,8256.0,864
2,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,3418.0,0
3,40,F,4,High School,Married,Less than $40K,Blue,34,3,4,3313.0,2517
4,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,4716.0,0
5,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,4010.0,1247
6,51,M,4,Graduate,Married,$120K +,Gold,46,6,1,34516.0,2264
7,32,M,0,High School,Married,$60K - $80K,Silver,27,2,2,29081.0,1396
8,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,22352.0,2517
9,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,11656.0,1677
10,42,M,5,Uneducated,Married,$120K +,Blue,31,5,3,6748.0,1467
11,65,M,1,Graduate,Married,$40K - $60K,Blue,54,6,2,9095.0,1587
12,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,11751.0,0
13,35,M,3,Graduate,Married,$60K - $80K,Blue,30,5,1,8547.0,1666
14,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2436.0,680
15,44,M,4,Graduate,Married,$80K - $120K,Blue,37,5,1,4234.0,972
16,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,30367.0,2362
17,41,M,3,Graduate,Married,$80K - $120K,Blue,34,4,4,13535.0,1291
18,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3193.0,2517
19,45,F,2,Graduate,Married,Less than $40K,Blue,37,6,1,14470.0,1157
20,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,20979.0,1800
21,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,1438.3,0
22,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,4470.0,680
23,47,F,4,Graduate,Single,Less than $40K,Blue,36,3,3,2492.0,1560
24,54,M,2,Graduate,Married,$80K - $120K,Blue,42,4,2,12217.0,0
25,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,7768.0,1669
26,59,M,1,High School,Married,$40K - $60K,Blue,46,4,1,14784.0,1374
27,63,M,1,Graduate,Married,$60K - $80K,Blue,56,3,3,10215.0,1010
